ap,apa,,
wes,sudah,,
mk,maka,,
ngelawak,melawak,,
nahan,menahan,,
khus,khusus,,
kenyataanya,kenyataannya,,
ngendap,mengendap,,
payaaahh,payah,,
pkek,pakai,,
baruu,baru,,
datengnya,datangnya,,
kecawa,kecewa,,
gadateng,tidak datang,,
woooeww,,,
kordinasi,koordinasi,,
documennya,dokumennya,,
gilllaaa,gila,,
terburukk,terburuk,,
hadehhhh,aduh,,
jngan,jangan,,
gimanah,bagaimana,,
ngemis,mengemis,,
invoce,invoice,,
malesss,malas,,
suda,sudah,,
tg,tanggal,,
propinsi,provinsi,,
diupdate,diperbarui,,
ktika,ketika,,
centr,center,,
tlponya,teleponnya,,
dibenah,dibenahi,,
sebener,sebenarnya,,
becus,mampu,,
msa,masa,,
lw,kalau,,
kouta,kuota,,
maen,main,,
paksain,paksakan,,
nyusahin,menyusahkan,,
manyun,cemberut,,
belagu,sombong,,
cyde,,,
rxde,,,
komen,komentar,,
segingga,sehingga,,
dmana,di mana,,
secuity,sekuriti,,
cewek,perempuan,,
betele,batal,,
ditotal,dihitung total,,
skitar,sekitar,,
bebagai,berbagai,,
mgkn,mungkin,,
dijalan,di jalan,,
dihadapan,di hadapan,,
banar,benar,,
blacklist,blok,,
flistone,,,
gmana,bagaimana,,
dibekalin,dibekali,,
dipake,dipakai,,
maluin,mempermalukan,,
nhii,ini,,
bertele,bertele-tele,,
ojol,ojek online,,
jakrta,jakarta,,
bilanh,bilang,,
deri,dari,,
ribett,ribet,,
tilangannya,tilangnya,,
wkwkwkw,,,
laen,lain,,
lom,belum,,
lamaaaaaaaa,lama,,
prokes,protokol kesehatan,,
dpan,depan,,
pingin,ingin,,
pelayannan,pelayanan,,
sgt,sangat,,
diduluin,didahulukan,,
entrian,antrean,,
mestinya,seharusnya,,
kesel,kesal,,
dilayanin,dilayani,,
gilaaa,gila,,
ujungny,ujungnya,,
dket,dekat,,
emng,memang,,
bagiin,bagikan,,
duitnya,uangnya,,
disanaa,di sana,,
komsumennya,konsumennya,,
leletnya,lambatnya,,
rumpi,bergosip,,
tlvon,telepon,,
jkrta,jakarta,,
samapai,sampai,,
lamat,alamat,,
lamaaaa,lama,,
ribedin,ribetkan,,
baek,baik,,
nebus,menebus,,
duh,aduh,,
undur,mundur,,
beritahu,beri tahu,,
kebapeanan,kepabeanan,,
sndiri,sendiri,,
plosok,pelosok,,
depak,dipecat,,
mngecewakn,mengecewakan,,
menghandle,menangani,,
kantir,kantor,,
yabg,yang,,
du,di,,
emak,ibu,,
slsai,selesai,,
capil,catatan sipil,,
haloo,halo,,
mulek,merengek,,
mengenakkan,menyenangkan,,
phk,pemutusan hubungan kerja,,
boncossssssss,rugi,,
padalah,padahal,,
nangis,menangis,,
brtanggung,bertanggung,,
segini,sebanyak ini,,
drri,dari,,
nyantumin,mencantumkan,,
hadehh,aduh,,
pek,,,
ngegosip,bergosip,,
buk,ibu,,
kepepet,terdesak,,
gapapa,tidak apa-apa,,
maksa,memaksa,,
mancla,plin plan,,
mencle,plin plan,,
sambi,sambil,,
keagenan,,,
seijin,seizin,,
terkatung,terkatung katung,,
ntah,entah,,
dicostumer,di pelanggan,,
shruse,seharusnya,,
peringatin,peringatkan,,
dicounternya,di loketnya,,
jelass,jelas,,
sqya,saya,,
pengitiman,pengiriman,,
ketimbang,daripada,,
sekilo,satu kilo,,
bget,banget,,
ongkosny,ongkosnya,,
tmn,teman,,
memperbaharui,memperbarui,,
des,desember,,
consumen,konsumen,,
konfirm,konfirmasi,,
mentri,menteri,,
direject,ditolak,,
ampass,ampas,,
gabung,bergabung,,
peke,pakai,,
kog,kok,,
profesionalitas,profesionalisme,,
skedar,sekadar,,
lanjuti,lanjutkan,,
sgera,segera,,
gapp,tidak apa-apa,,
dikomp,dikompres,,
